Order ID,Product Name,Category,Price,Quantity,Customer Name,Date
ORD54,Messi!!,Sports,,,john ,
,messi,Elec ,,5,,
,messi,Electronics,246.45,,,2024/13/01
57,Messi!!,,496.89,-1,JOHN,
, Messi ,sports,,5,John,2024-01-01
ORD59,messi,Elec ,,-1,,
,,Electronics,149.55,,,2024-01-01
,,Electronics,28.94,,JOHN,01/02/2024
ORD62,MESSI,sports,,5,John,
63,Messi!!,Elec ,,2,,2024-01-01
64,MESSI,,,,J0hn,
ORD65,MESSI,,unknown,,J0hn,2024/13/01
ORD66, Messi ,Sports,,8,John,2024-01-01
,messi,Elec ,13.25,7,JOHN,
68, Messi ,Electronics,unknown,8,JOHN,
ORD69,,Elec ,,,J0hn,2024/13/01
70,MESSI,Sports,,,John,
, Messi ,Electronics,unknown,6,John,
, Messi ,Sports,,-1,,
, Messi ,Electronics,283.49,,john ,01/02/2024
ORD74,Messi!!,sports,unknown,,john ,01/02/2024
75,MESSI,,,,john ,2024-01-01
76,Messi!!,,94.03,,John,
,,sports,unknown,,,01/02/2024
ORD78,MESSI,Electronics,312.65,,,2024-01-01
,Messi!!,sports,unknown,7,,
ORD80,,,unknown,,JOHN,01/02/2024
,Messi!!,Elec ,,,,
82,,,unknown,,,
,Messi,Elec ,,10,John,2024/13/01
ORD84, Messi ,Sports,unknown,,J0hn,
ORD85,Messi!!,Elec ,,-1,,
, Messi ,,unknown,-1,John,01/02/2024
,,Electronics,,,John,01/02/2024
88,Messi!!,Elec ,unknown,-1,john ,2024/13/01
,messi,,unknown,,john ,01/02/2024
ORD90,Messi,Elec ,142.31,,,
,MESSI,Sports,,,john ,01/02/2024
,MESSI,,383.94,10,John,
93,Messi!!,Elec ,368.39,,,2024-01-01
,MESSI,,,,john ,
, Messi ,Elec ,unknown,-1,John,2024/13/01
,MESSI,Electronics,unknown,,JOHN,2024-01-01
97,messi,Electronics,,-1,John,2024/13/01
,messi,Electronics,,5,John,
,MESSI,Elec ,,9,JOHN,2024-01-01
ORD100,MESSI,,,,JOHN,2024-01-01
101,messi,Sports,169.32,6,John,2024/13/01
ORD102, Messi ,sports,,,JOHN,
ORD103,,Electronics,310.47,6,,
,MESSI,sports,,-1,JOHN,01/02/2024
,Messi,,,,J0hn,
,Messi!!,sports,,,J0hn,
107, Messi ,Electronics,,-1,john ,2024/13/01
108,,sports,,-1,,
109, Messi ,Sports,,,,
,messi,,,,JOHN,2024/13/01
,messi,Electronics,,,,01/02/2024
,MESSI,,unknown,,,
ORD113,,,,-1,J0hn,2024/13/01
ORD114,,Elec ,,,John,
ORD115,MESSI,,262.88,10,,01/02/2024
116,Messi,Electronics,,,J0hn,01/02/2024
,messi,Electronics,448.08,1,,2024-01-01
118,MESSI,sports,,,,
ORD119,,,,-1,,
,MESSI,sports,269.12,1,,2024/13/01
, Messi ,,277.53,-1,,
,messi,,unknown,-1,John,01/02/2024
123, Messi ,,389.14,,John,01/02/2024
124,Messi,Sports,356.51,,JOHN,
,Messi,Sports,,-1,John,01/02/2024
ORD126,messi,sports,352.27,1,J0hn,
127, Messi ,Electronics,unknown,-1,john ,2024/13/01
ORD128,Messi,Sports,27.2,,john ,2024-01-01
, Messi ,,,,,01/02/2024
ORD130,messi,Sports,,-1,JOHN,2024/13/01
,,Sports,unknown,,J0hn,
ORD132,,Sports,,4,john ,01/02/2024
133,MESSI,Electronics,unknown,-1,,2024-01-01
ORD134,messi,Elec ,unknown,-1,J0hn,01/02/2024
135,messi,,451.23,,john ,2024/13/01
,Messi!!,,,8,,
137,Messi,,435.02,-1,,
,Messi!!,Sports,268.73,,,
,Messi,,,,,
ORD140,Messi!!,,143.09,1,john ,01/02/2024
, Messi ,,unknown,,,
,,Sports,183.7,,,2024/13/01
143,,,213.14,6,JOHN,
, Messi ,Elec ,,7,john ,
145,messi,sports,,5,john ,2024-01-01
,,Elec ,481.46,,,01/02/2024
147,MESSI,Sports,,-1,,
ORD148,messi,Sports,33.44,,JOHN,01/02/2024
,messi,Elec ,,7,,
, Messi ,,,-1,,
,,Elec ,314.54,,john ,
, Messi ,sports,,3,,01/02/2024
ORD153,MESSI,Electronics,422.98,6,John,
,messi,Elec ,176.87,,John,
ORD155,messi,Sports,113.98,7,JOHN,
156,Messi!!,Elec ,143.91,-1,J0hn,
,Messi!!,Sports,,8,JOHN,
ORD158,MESSI,sports,unknown,-1,John,2024/13/01
ORD159,Messi,sports,44.34,,J0hn,2024/13/01
,messi,sports,,,JOHN,
, Messi ,,unknown,-1,JOHN,2024-01-01
162,Messi!!,Elec ,,,J0hn,
,,Electronics,21.41,,,
164,Messi,Electronics,,5,JOHN,2024/13/01
165,,,,,J0hn,
,Messi!!,Elec ,,8,john ,
,,Electronics,,-1,J0hn,
168,,sports,unknown,6,,
169,,Sports,,,,
,Messi!!,Elec ,97.57,,,2024-01-01
ORD171,Messi!!,,unknown,-1,john ,2024/13/01
172, Messi ,,,,,2024-01-01
173, Messi ,,159.81,-1,,2024/13/01
174, Messi ,,33.43,-1,John,2024-01-01
,,,,,,2024/13/01
,MESSI,sports,unknown,,,01/02/2024
177,,sports,,,,2024-01-01
178, Messi ,,,-1,john ,01/02/2024
179,,Sports,,,john ,01/02/2024
,MESSI,Electronics,unknown,3,,2024/13/01
,Messi,,49.57,-1,J0hn,
182,Messi!!,,107.94,,JOHN,2024-01-01
183, Messi ,Electronics,unknown,,,01/02/2024
, Messi ,,,,john ,
,messi,Electronics,,-1,JOHN,2024-01-01
,MESSI,Electronics,,,,
187,,,,,John,
,messi,,,,John,01/02/2024
,Messi,,43.77,,John,
,Messi,Sports,,,J0hn,
191,MESSI,Electronics,35.37,,,
192,,Electronics,153.55,,John,
ORD193,,sports,unknown,,,
ORD194, Messi ,,287.08,8,J0hn,
195,Messi,Electronics,unknown,9,,2024/13/01
,,,,-1,,
,messi,Sports,,,JOHN,
ORD198,,sports,236.38,,,01/02/2024
, Messi ,,280.06,,John,
ORD200, Messi ,Sports,unknown,,,
ORD201,Messi!!,,,-1,John,2024-01-01
202,messi,Sports,51.45,2,,
, Messi ,Elec ,unknown,1,J0hn,2024-01-01
,,Elec ,unknown,5,J0hn,
,Messi!!,Elec ,,-1,,2024/13/01
206,,Sports,,,JOHN,2024-01-01
,messi,,,-1,JOHN,2024-01-01
,Messi,sports,,3,john ,01/02/2024
,,Sports,438.34,-1,J0hn,01/02/2024
ORD210,,Elec ,471.04,,JOHN,2024-01-01
ORD211,messi,,unknown,-1,john ,2024/13/01
,Messi,Electronics,unknown,,,01/02/2024
ORD213,MESSI,Electronics,,-1,,2024/13/01
214,Messi,Sports,unknown,,john ,01/02/2024
,,Sports,,,john ,
, Messi ,Sports,,,,
217,,,unknown,,,2024/13/01
ORD218,MESSI,,408.23,,JOHN,2024/13/01
ORD219,Messi!!,Elec ,unknown,1,John,2024/13/01
,Messi,Electronics,,,JOHN,2024-01-01
221,MESSI,Electronics,,,,
ORD222,messi,Electronics,,,john ,
,,,,-1,J0hn,2024-01-01
,,,,,J0hn,2024-01-01
225,MESSI,sports,unknown,,,2024/13/01
226,messi,Electronics,,,,01/02/2024
,messi,,unknown,10,john ,
ORD228,messi,sports,,10,,2024/13/01
,,,438.89,,J0hn,01/02/2024
,,,,8,,2024-01-01
ORD231,messi,Electronics,unknown,,JOHN,
,MESSI,Sports,,,JOHN,
,messi,sports,unknown,-1,John,01/02/2024
ORD234,Messi,sports,180.78,,,
235,MESSI,,,,John,2024/13/01
,MESSI,Electronics,unknown,,,2024/13/01
,Messi,,,-1,J0hn,
,messi,sports,,,JOHN,2024-01-01
ORD239,,,unknown,,,2024/13/01
240,,,,,,2024-01-01
ORD241,MESSI,,,,,2024/13/01
242,,Electronics,46.17,-1,John,2024/13/01
,,Sports,58.96,,,01/02/2024
244,Messi!!,Electronics,,,JOHN,
245, Messi ,Sports,,8,John,01/02/2024
,MESSI,Electronics,,4,John,
247,,Elec ,,-1,JOHN,
, Messi ,Sports,,,John,
249,,Electronics,unknown,,J0hn,2024-01-01
,MESSI,Elec ,299.88,,J0hn,2024/13/01
, Messi ,,,-1,john ,
ORD252,,,122.52,-1,J0hn,01/02/2024
,MESSI,Elec ,,7,JOHN,01/02/2024
,Messi!!,,,,,2024-01-01
,messi,Sports,57.23,-1,,
,messi,,unknown,-1,John,2024/13/01
257,,,102.25,,,
258,Messi,Elec ,,5,john ,
ORD259,Messi!!,,,,John,2024-01-01
,Messi,,,-1,John,
261, Messi ,,,7,J0hn,2024-01-01
,Messi,Sports,,,,
ORD263,Messi!!,Sports,unknown,,John,
264,,,167.44,1,JOHN,2024/13/01
,,,unknown,-1,John,2024-01-01
ORD266,messi,Sports,95.28,,john ,01/02/2024
ORD267,Messi,Elec ,unknown,,,2024/13/01
268,,,303.85,-1,,2024-01-01
,,,unknown,5,John,2024-01-01
,Messi!!,,,6,J0hn,2024-01-01
ORD271,Messi!!,Electronics,unknown,,,
,,,unknown,-1,,
ORD273,,Electronics,unknown,,J0hn,01/02/2024
,MESSI,,,-1,J0hn,
ORD275,,sports,,-1,John,2024/13/01
,Messi,Elec ,155.9,,,
,Messi!!,Electronics,,5,John,01/02/2024
278,MESSI,sports,90.19,,JOHN,2024-01-01
ORD279,,,,,,2024/13/01
,,Elec ,,,john ,01/02/2024
ORD281,Messi!!,Electronics,unknown,,,2024-01-01
282,Messi!!,,,,J0hn,2024/13/01
,Messi,Elec ,,,John,
284,,,unknown,-1,,01/02/2024
,Messi!!,sports,unknown,-1,,2024/13/01
,,Elec ,unknown,3,JOHN,2024-01-01
,messi,sports,,4,john ,2024/13/01
,MESSI,Sports,27.0,-1,John,
,,Electronics,,,J0hn,
ORD290,Messi!!,,unknown,-1,John,2024-01-01
ORD291,messi,Sports,483.9,10,John,
, Messi ,Sports,unknown,,John,2024-01-01
ORD293,MESSI,Sports,,-1,,
ORD294,MESSI,,,-1,J0hn,2024/13/01
,Messi!!,Sports,unknown,-1,,01/02/2024
296,Messi,Elec ,,,JOHN,2024/13/01
ORD297, Messi ,Electronics,,-1,J0hn,01/02/2024
ORD298,,Elec ,,,John,
ORD299,Messi!!,sports,434.96,,J0hn,
,MESSI,,,10,,
ORD301,Messi!!,,,,John,2024/13/01
,MESSI,Elec ,,8,JOHN,01/02/2024
,MESSI,,104.03,6,john ,01/02/2024
,MESSI,,255.24,,John,01/02/2024
ORD305,,Sports,,,,2024-01-01
,,Sports,unknown,3,J0hn,2024/13/01
307,Messi!!,Electronics,,,JOHN,01/02/2024
ORD308,Messi!!,Elec ,,-1,JOHN,01/02/2024
309,,sports,472.08,-1,John,2024/13/01
,Messi!!,Elec ,unknown,3,John,2024-01-01
311, Messi ,,,,JOHN,
, Messi ,,,,J0hn,2024-01-01
313,,,,10,JOHN,
,Messi,Electronics,unknown,,,2024/13/01
ORD315,messi,,,-1,,01/02/2024
,Messi!!,Electronics,,7,john ,2024/13/01
,Messi,Electronics,236.54,7,john ,2024-01-01
ORD318,MESSI,,,,JOHN,2024/13/01
,Messi!!,sports,unknown,6,,01/02/2024
ORD320,,sports,,-1,john ,
,Messi!!,,,,J0hn,
ORD322, Messi ,Sports,unknown,,John,2024/13/01
,MESSI,Elec ,,-1,JOHN,2024-01-01
,MESSI,sports,,-1,,2024-01-01
325,,,171.95,-1,John,01/02/2024
326,messi,Sports,20.75,5,john ,2024/13/01
ORD327,MESSI,Sports,,-1,J0hn,
,,,156.92,,,
329, Messi ,,,,J0hn,
,,Elec ,34.89,,J0hn,2024/13/01
ORD331,,,unknown,,john ,2024/13/01
ORD332,,,300.25,7,J0hn,
ORD333,,Electronics,,,John,2024-01-01
, Messi ,Electronics,unknown,-1,,2024-01-01
,Messi!!,Electronics,352.47,4,,01/02/2024
ORD336,,sports,241.0,,John,2024-01-01
,Messi!!,Elec ,unknown,,,2024/13/01
,messi,,,,,
, Messi ,,unknown,,john ,01/02/2024
340, Messi ,Elec ,397.31,-1,john ,2024-01-01
341,Messi,Sports,,,,2024/13/01
, Messi ,Elec ,unknown,-1,JOHN,01/02/2024
,Messi!!,Elec ,,6,,
,messi,Electronics,56.47,-1,,2024/13/01
,Messi,,unknown,,John,
ORD346, Messi ,Electronics,,,,
, Messi ,Sports,unknown,,,2024-01-01
348,,Electronics,unknown,,JOHN,2024-01-01
349,Messi,,45.45,,,
ORD350,MESSI,Elec ,,3,John,
351,messi,Electronics,324.43,-1,john ,2024-01-01
ORD352, Messi ,,,6,john ,
,MESSI,Elec ,,,,2024/13/01
,Messi,Electronics,150.72,,J0hn,
,Messi,,,2,john ,
356, Messi ,Sports,unknown,,,
ORD357,MESSI,Sports,,,John,01/02/2024
358,messi,Elec ,,5,John,01/02/2024
ORD359, Messi ,,unknown,4,JOHN,01/02/2024
,Messi!!,,443.34,,john ,
ORD361, Messi ,,unknown,,john ,
362,,,unknown,,john ,2024/13/01
,,,unknown,7,J0hn,2024-01-01
ORD364,Messi!!,sports,unknown,2,,
,Messi,Electronics,,,JOHN,01/02/2024
ORD366,,,479.66,-1,,
,,,209.18,,,01/02/2024
ORD368,Messi,Sports,unknown,-1,John,2024-01-01
,Messi,Sports,,,John,01/02/2024
,,Electronics,288.11,,,2024/13/01
371,Messi!!,Electronics,266.87,-1,,2024/13/01
372,Messi!!,,,,J0hn,
373,MESSI,Electronics,,,,2024/13/01
,MESSI,sports,275.97,,,2024/13/01
375,Messi,,196.01,-1,John,2024/13/01
,,sports,,-1,JOHN,
ORD377,Messi!!,sports,,-1,J0hn,2024/13/01
378,messi,Electronics,,,,2024-01-01
379, Messi ,,,,john ,2024-01-01
ORD380,Messi,Sports,unknown,9,JOHN,2024/13/01
381,Messi!!,Sports,,,J0hn,2024-01-01
,Messi!!,Electronics,unknown,-1,JOHN,
383,Messi!!,sports,unknown,-1,J0hn,2024/13/01
,messi,sports,125.25,-1,,2024-01-01
,,,190.71,,John,
386,,Sports,,-1,,2024-01-01
387, Messi ,,unknown,,,01/02/2024
,Messi!!,,220.59,1,,
, Messi ,Electronics,267.73,8,,
,messi,Elec ,381.23,4,john ,01/02/2024
ORD391,messi,Sports,,,John,
ORD392, Messi ,Electronics,,8,john ,
,,,,7,,
ORD394, Messi ,Electronics,unknown,-1,,
ORD395, Messi ,Electronics,7.69,-1,,2024-01-01
396,Messi!!,sports,,,john ,2024/13/01
ORD397,,Sports,,-1,,2024/13/01
,messi,,,4,John,
399,,Sports,unknown,,,
,Messi!!,Electronics,,-1,J0hn,01/02/2024
ORD401,,Electronics,,,,2024-01-01
,Messi,,unknown,,JOHN,2024-01-01
ORD403,messi,Sports,49.12,,john ,2024-01-01
,Messi,,unknown,,john ,01/02/2024
ORD405, Messi ,,unknown,,J0hn,2024-01-01
ORD406, Messi ,Sports,,,john ,
407,Messi,Elec ,,2,J0hn,
,,Sports,,-1,,
,,Elec ,,,john ,01/02/2024
410,,,,-1,,
411,Messi,Elec ,,1,,2024-01-01
ORD412, Messi ,,,,john ,
,,Sports,unknown,6,john ,
, Messi ,,164.66,2,john ,
ORD415,,Electronics,,,JOHN,2024-01-01
ORD416,messi,,unknown,,J0hn,2024-01-01
,,Elec ,unknown,,JOHN,2024/13/01
418, Messi ,sports,,8,John,
,Messi!!,,,,JOHN,
,,Electronics,unknown,-1,,
421,messi,sports,350.88,,john ,
ORD422,,,270.02,,,2024-01-01
,,Elec ,,,John,01/02/2024
, Messi ,Elec ,,,John,
ORD425,messi,Sports,347.98,,JOHN,2024-01-01
ORD426, Messi ,Sports,,,JOHN,2024-01-01
,MESSI,Electronics,unknown,8,,2024/13/01
428,Messi,,84.59,-1,John,2024/13/01
429,MESSI,Sports,38.61,,,
,messi,,,4,JOHN,01/02/2024
ORD431,,Elec ,154.86,,john ,01/02/2024
,Messi,Electronics,237.6,,JOHN,01/02/2024
433,Messi!!,Sports,unknown,-1,JOHN,01/02/2024
ORD434,messi,sports,,,J0hn,
ORD435,Messi!!,Electronics,9.76,5,JOHN,2024-01-01
,,sports,unknown,,,
,Messi!!,Electronics,,,,2024-01-01
,MESSI,,78.35,-1,,01/02/2024
439, Messi ,,,4,,
ORD440,messi,Elec ,,5,john ,2024/13/01
,Messi,sports,,,,
,MESSI,Sports,,4,JOHN,
443,,Electronics,unknown,-1,,
,messi,sports,unknown,,J0hn,
445, Messi ,sports,,,john ,2024/13/01
ORD446,messi,Elec ,unknown,,John,
,Messi,,46.52,,john ,
ORD448,Messi,Sports,,,,
,Messi,,118.78,,,2024/13/01
450,messi,,unknown,-1,,2024/13/01
ORD451,,Electronics,461.41,,,2024/13/01
452,,sports,141.73,,,01/02/2024
, Messi ,sports,119.49,,J0hn,2024/13/01
,,Electronics,unknown,,,2024-01-01
ORD455,,,360.24,,JOHN,01/02/2024
,Messi,sports,unknown,-1,J0hn,2024-01-01
ORD457,messi,,unknown,,JOHN,01/02/2024
458,,,,7,,01/02/2024
,messi,,,3,JOHN,
460,,,,5,JOHN,2024/13/01
,MESSI,Sports,,,,2024-01-01
462,MESSI,Elec ,unknown,,John,
463,Messi!!,Electronics,464.24,10,john ,2024-01-01
ORD464,,,,,JOHN,01/02/2024
465,messi,,unknown,-1,John,
ORD466,,Electronics,471.98,-1,John,
467,,,203.17,,JOHN,
468,Messi,Elec ,,2,John,2024-01-01
ORD469,,Elec ,unknown,,John,2024-01-01
470,,,unknown,,John,
,Messi,,,-1,J0hn,2024/13/01
, Messi ,Electronics,unknown,,JOHN,2024-01-01
473,Messi!!,,,,JOHN,
,Messi!!,,118.13,,JOHN,01/02/2024
,Messi,,,,john ,2024/13/01
,Messi!!,Elec ,383.57,4,,01/02/2024
ORD477, Messi ,sports,184.79,,,2024/13/01
ORD478,Messi!!,Sports,26.21,1,john ,01/02/2024
,Messi!!,Sports,8.51,-1,john ,2024-01-01
,messi,,unknown,-1,john ,
,MESSI,Elec ,,-1,,
,,Elec ,,-1,john ,01/02/2024
,MESSI,,,10,JOHN,01/02/2024
,,Sports,,,JOHN,
,Messi!!,,419.63,-1,J0hn,2024/13/01
486,,Electronics,,,J0hn,
,Messi!!,sports,,-1,J0hn,2024/13/01
,Messi,Electronics,,,JOHN,
ORD489, Messi ,Elec ,unknown,-1,J0hn,2024/13/01
,,sports,,,,2024-01-01
,,Sports,,,,2024/13/01
,,,259.26,10,,
493,MESSI,Electronics,197.46,,JOHN,
, Messi ,,,5,,
, Messi ,,,,,2024-01-01
ORD496,,,,5,John,2024/13/01
497,MESSI,Sports,unknown,,J0hn,01/02/2024
ORD498,Messi!!,Electronics,,,john ,2024/13/01
ORD499,,,,,J0hn,
, Messi ,Sports,112.6,-1,,
, Messi ,sports,unknown,,,2024-01-01
502, Messi ,Sports,unknown,,john ,
, Messi ,,unknown,-1,john ,2024-01-01
, Messi ,Elec ,,,john ,01/02/2024
505,,Electronics,462.39,-1,JOHN,2024-01-01
506,,sports,,,,2024-01-01
ORD507,Messi!!,sports,unknown,,,2024/13/01
,messi,,,-1,J0hn,2024-01-01
ORD509,Messi!!,sports,17.89,,,2024/13/01
510,messi,Sports,,9,john ,
ORD511,Messi,sports,,9,,2024-01-01
,,Sports,493.42,,john ,01/02/2024
ORD513,MESSI,sports,443.12,-1,J0hn,2024/13/01
,MESSI,,,,John,01/02/2024
515,MESSI,sports,201.07,,JOHN,01/02/2024
ORD516,Messi,sports,unknown,,,01/02/2024
,MESSI,sports,unknown,,john ,2024/13/01
, Messi ,sports,,,,
,MESSI,,unknown,1,john ,2024/13/01
,Messi!!,Elec ,371.31,,JOHN,
521,messi,Electronics,unknown,-1,,
ORD522,MESSI,,unknown,,john ,2024/13/01
ORD523, Messi ,Electronics,256.62,,john ,
524,Messi,sports,328.77,,John,2024/13/01
525,Messi,sports,,6,J0hn,01/02/2024
ORD526,MESSI,,,9,,2024/13/01
,messi,sports,32.82,9,J0hn,
ORD528,messi,Electronics,400.45,,john ,2024/13/01
ORD529,messi,sports,220.3,,JOHN,2024-01-01
,MESSI,Sports,88.68,,,2024-01-01
ORD531,messi,Sports,unknown,4,J0hn,2024-01-01
,messi,Elec ,unknown,-1,,
,messi,,unknown,,J0hn,2024/13/01
ORD534,messi,Electronics,,,john ,
ORD535,,Sports,unknown,3,,2024/13/01
536,Messi,Elec ,,,,
537, Messi ,,,,john ,2024-01-01
,messi,Elec ,,-1,,01/02/2024
539,messi,sports,,10,,01/02/2024
,MESSI,,,9,John,
541,Messi,Sports,,6,John,
ORD542,,sports,,,JOHN,
543,Messi!!,,,,John,2024/13/01
,MESSI,Electronics,,10,JOHN,01/02/2024
,messi,sports,,,JOHN,2024/13/01
ORD546,,sports,,,JOHN,2024/13/01
,MESSI,,,5,john ,
,messi,Sports,,1,john ,01/02/2024
549,,,,10,John,2024/13/01
,messi,,unknown,,John,
,messi,Sports,,10,,2024-01-01
,MESSI,Electronics,,-1,john ,
,,sports,,3,J0hn,2024-01-01
ORD554,,,,3,john ,
,Messi!!,Electronics,,-1,john ,
,Messi,sports,196.25,,JOHN,2024/13/01
,,Elec ,320.97,,,2024-01-01
,,Elec ,467.55,,,2024-01-01
,messi,Electronics,,,,
560,Messi,,unknown,,,2024-01-01
561,,Sports,,,,01/02/2024
562,messi,Sports,,,,2024/13/01
,Messi!!,sports,401.74,-1,J0hn,
,Messi!!,,unknown,-1,J0hn,2024-01-01
, Messi ,,unknown,7,JOHN,2024-01-01
566, Messi ,Electronics,,,,
567,messi,,,-1,J0hn,
,Messi!!,,220.34,-1,John,
569,Messi,,482.16,-1,John,
570,Messi,sports,,3,john ,2024-01-01
,messi,Electronics,,-1,JOHN,
,Messi!!,,,-1,JOHN,2024-01-01
,Messi,,unknown,-1,john ,2024/13/01
,Messi!!,,258.0,-1,,2024/13/01
, Messi ,Elec ,420.52,,,2024/13/01
576,Messi!!,Elec ,,-1,,2024/13/01
,Messi,Electronics,,-1,John,2024/13/01
,MESSI,Sports,,,,
ORD579,MESSI,sports,,,,
ORD580,,,6.95,3,john ,01/02/2024
581,Messi!!,Electronics,407.74,5,JOHN,2024-01-01
582,MESSI,sports,126.11,,john ,2024/13/01
583,Messi!!,sports,,,,2024/13/01
,MESSI,sports,,2,John,2024/13/01
585,MESSI,sports,,8,john ,
, Messi ,sports,,-1,,01/02/2024
,messi,sports,,,,
,Messi,Sports,,,,
,messi,Electronics,unknown,4,John,2024/13/01
,Messi!!,sports,,-1,JOHN,
591, Messi ,,258.66,,,
592,Messi,Sports,unknown,9,john ,01/02/2024
,,Electronics,,,John,
,MESSI,,unknown,10,,2024/13/01
ORD595, Messi ,sports,,9,,2024-01-01
,,Electronics,212.68,-1,John,
,Messi,Electronics,,,JOHN,
598,Messi,,,-1,John,
ORD599,Messi,,163.16,-1,JOHN,2024-01-01
600,MESSI,Sports,476.02,,JOHN,2024-01-01
,,Electronics,,,,2024-01-01
,,Sports,212.49,,john ,01/02/2024
ORD603,MESSI,Sports,,6,john ,2024-01-01
,,,unknown,,,2024-01-01
605,Messi,,,-1,J0hn,2024-01-01
,Messi,Sports,387.4,-1,john ,
,Messi,,,,J0hn,
608,Messi!!,Electronics,,-1,JOHN,01/02/2024
,,,unknown,3,John,2024-01-01
,,sports,477.77,,,01/02/2024
611,,,349.88,10,john ,2024-01-01
612,Messi!!,,unknown,4,john ,2024-01-01
,MESSI,,,,JOHN,
614,MESSI,sports,unknown,-1,J0hn,2024-01-01
615,Messi,Electronics,unknown,,JOHN,
616,Messi!!,Electronics,,,john ,2024/13/01
617,Messi,Elec ,,,,2024/13/01
,,Electronics,,4,JOHN,
,Messi!!,Sports,,2,,2024-01-01
ORD620,Messi,,unknown,,,2024/13/01
ORD621,Messi,Elec ,,8,john ,01/02/2024
ORD622,,Electronics,,,,2024-01-01
,messi,,,,john ,01/02/2024
624,Messi,Sports,unknown,,,2024-01-01
625,MESSI,,unknown,,,01/02/2024
,,,,5,John,2024-01-01
627,Messi,,,,,
628,,,60.48,-1,J0hn,2024-01-01
,Messi!!,sports,,,,
630, Messi ,,unknown,,,
631,Messi,,unknown,10,J0hn,01/02/2024
632,,,,,JOHN,
633,Messi,Electronics,38.03,,J0hn,
,,,221.94,,,2024/13/01
,,,unknown,,John,2024/13/01
636, Messi ,,206.94,,J0hn,2024-01-01
637,,,482.21,3,John,
,messi,sports,unknown,,JOHN,2024-01-01
639,MESSI,,,-1,John,2024-01-01
,Messi!!,Sports,unknown,,,
,messi,sports,,-1,J0hn,
,messi,Electronics,unknown,9,John,
,Messi!!,,224.94,,John,
,Messi!!,,unknown,,,2024/13/01
645,Messi,,489.77,10,john ,2024-01-01
646,,Sports,,10,john ,
,,Sports,,-1,,2024/13/01
,Messi,,,,JOHN,2024/13/01
ORD649,messi,,,,,
ORD650,MESSI,Elec ,,,JOHN,2024/13/01
ORD651,messi,Electronics,,7,john ,2024/13/01
,,,344.56,,John,2024-01-01
ORD653,Messi!!,,unknown,,,
,Messi,Sports,428.63,2,J0hn,2024-01-01
,,sports,,,,2024/13/01
656, Messi ,Electronics,unknown,4,John,2024-01-01
, Messi ,,,5,,
658,,,unknown,5,John,
,,Electronics,,1,,2024-01-01
660,Messi!!,Elec ,unknown,,John,2024/13/01
ORD661,messi,,32.38,,JOHN,2024/13/01
ORD662,Messi!!,Electronics,unknown,-1,john ,
663,messi,,,-1,,
,,Sports,17.24,7,John,2024-01-01
,,Electronics,,7,,
,messi,Electronics,,,John,2024/13/01
667, Messi ,Sports,183.61,-1,John,
,,,unknown,,J0hn,
,,Elec ,56.43,,,
ORD670,Messi,Electronics,83.19,,JOHN,2024/13/01
,,Elec ,,,J0hn,2024/13/01
,MESSI,,unknown,,J0hn,01/02/2024
